<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.06	2869.272	2873.317	2834.059	2858.000	291101	0	159
2025.02.07	2857.994	2886.747	2852.405	2861.002	274315	0	159
2025.02.09	2861.269	2870.590	2860.088	2867.495	7930	0	159
2025.02.10	2867.539	2921.603	2865.830	2917.847	259777	0	159
2025.02.11	2917.894	2942.649	2881.696	2898.536	361662	0	159
2025.02.12	2898.562	2909.267	2864.102	2905.781	269879	0	159
2025.02.13	2905.756	2932.484	2901.452	2931.217	228241	0	159
2025.02.14	2931.192	2940.000	2876.991	2882.772	290597	0	159
2025.02.16	2893.643	2894.027	2878.430	2879.221	16153	0	159
2025.02.17	2879.254	2906.428	2879.254	2899.373	177682	0	159
2025.02.18	2899.325	2936.994	2892.013	2934.061	170605	0	159
2025.02.19	2934.059	2947.049	2918.524	2935.384	200764	0	159
2025.02.20	2935.386	2954.975	2924.080	2941.530	198890	0	159
2025.02.21	2941.570	2949.786	2916.682	2936.453	205671	0	159
2025.02.23	2939.411	2940.546	2936.498	2936.867	6037	0	159
2025.02.24	2936.863	2956.181	2921.332	2949.996	210124	0	159
2025.02.25	2949.957	2952.552	2888.229	2918.604	244883	0	159
2025.02.26	2918.626	2930.141	2890.669	2919.118	192639	0	159
2025.02.27	2919.176	2919.176	2867.740	2876.063	266013	0	159
2025.02.28	2876.069	2885.034	2832.578	2858.242	244668	0	159
2025.03.02	2873.556	2876.994	2863.995	2870.799	14068	0	159
2025.03.03	2870.866	2895.267	2858.830	2890.886	205648	0	159
2025.03.04	2890.863	2927.891	2881.950	2914.363	223019	0	159
2025.03.05	2914.355	2930.042	2894.255	2918.236	264948	0	159
2025.03.06	2918.237	2926.567	2891.159	2910.314	233276	0	159
2025.03.07	2910.249	2930.466	2896.667	2911.256	273026	0	159
2025.03.09	2912.347	2917.051	2909.658	2916.187	10324	0	159
2025.03.10	2916.190	2918.312	2880.166	2884.685	260024	0	159
2025.03.11	2884.724	2922.262	2880.131	2915.551	191245	0	159
2025.03.12	2915.589	2940.592	2905.970	2938.039	202128	0	159
2025.03.13	2938.025	2989.916	2932.920	2986.435	208307	0	159
2025.03.14	2986.473	3004.879	2978.421	2986.370	200198	0	159
2025.03.16	2987.601	2994.105	2986.054	2990.061	7877	0	159
2025.03.17	2990.027	3002.807	2982.158	2999.831	149684	0	159
2025.03.18	2999.803	3038.334	2999.490	3031.774	178489	0	159
2025.03.19	3031.801	3051.924	3022.744	3050.026	176978	0	159
2025.03.20	3050.023	3057.484	3025.626	3046.409	193438	0	159
2025.03.21	3046.335	3047.435	2999.385	3023.493	193705	0	159
2025.03.23	3023.441	3026.292	3022.143	3024.721	6816	0	159
2025.03.24	3024.709	3033.208	3002.465	3009.910	176683	0	159
2025.03.25	3009.945	3036.014	3007.555	3021.041	148223	0	159
2025.03.26	3021.037	3032.042	3012.325	3021.623	154312	0	159
2025.03.27	3021.563	3059.860	3021.522	3055.710	209244	0	159
2025.03.28	3055.726	3086.807	3054.997	3085.002	214091	0	159
2025.03.30	3092.531	3097.843	3087.793	3089.213	13252	0	159
2025.03.31	3089.159	3128.165	3076.803	3120.581	276866	0	159
2025.04.01	3120.569	3149.059	3100.761	3115.168	272867	0	159
2025.04.02	3115.160	3167.792	3104.795	3162.703	320020	0	159
2025.04.03	3162.550	3164.804	3054.052	3112.884	498707	0	159
2025.04.04	3112.908	3136.756	3015.556	3038.506	516994	0	159
2025.04.06	3028.686	3032.445	2977.024	2999.944	46504	0	159
2025.04.07	2999.954	3055.804	2956.302	2981.328	686072	0	159
2025.04.08	2981.363	3022.746	2969.971	2978.367	328393	0	159
2025.04.09	2978.398	3099.690	2972.475	3086.784	458532	0	159
2025.04.10	3086.745	3191.324	3078.448	3188.972	359044	0	159
2025.04.11	3188.993	3245.436	3184.855	3237.519	383179	0	159
2025.04.13	3220.460	3224.725	3213.589	3223.805	19751	0	159
2025.04.14	3223.699	3245.757	3193.552	3212.599	266319	0	159
2025.04.15	3212.634	3251.826	3209.977	3251.780	184986	0	159
2025.04.16	3251.804	3357.758	3251.590	3350.133	295287	0	159
2025.04.17	3350.168	3356.281	3283.822	3327.671	308633	0	159
2025.04.20	3331.849	3353.168	3331.288	3348.078	23655	0	159
2025.04.21	3348.191	3444.257	3347.487	3434.548	296298	0	159
2025.04.22	3434.524	3500.033	3315.831	3336.561	546992	0	159
2025.04.23	3336.607	3386.661	3260.042	3316.384	498355	0	159
2025.04.24	3316.351	3370.789	3306.737	3348.976	350485	0	159
2025.04.25	3348.951	3363.120	3265.072	3318.726	321025	0	159
2025.04.27	3325.640	3330.229	3298.606	3302.739	25689	0	159
2025.04.28	3302.791	3353.004	3268.074	3337.610	306531	0	159
2025.04.29	3337.643	3340.039	3299.649	3317.122	257849	0	159
2025.04.30	3317.122	3327.971	3266.901	3272.887	297973	0	159
2025.05.01	3272.922	3276.323	3201.862	3237.253	319421	0	159
2025.05.02	3237.291	3269.242	3222.721	3240.947	280819	0	159
2025.05.04	3238.490	3252.300	3237.490	3247.922	17316	0	159
2025.05.05	3247.981	3338.052	3241.180	3334.031	263554	0	159
2025.05.06	3334.038	3435.016	3323.139	3400.680	376117	0	159
2025.05.07	3400.723	3401.666	3360.068	3376.488	357339	0	159
2025.05.08	3376.515	3414.851	3288.697	3316.412	387273	0	159
2025.05.09	3316.448	3347.556	3274.664	3326.805	270548	0	159
2025.05.11	3282.255	3292.606	3265.847	3287.534	32354	0	159
2025.05.12	3287.506	3289.998	3207.693	3236.880	398739	0	159
2025.05.13	3236.906	3265.659	3215.868	3254.425	263146	0	159
2025.05.14	3254.388	3254.658	3167.933	3186.098	312268	0	159
2025.05.15	3186.043	3252.132	3120.649	3237.150	310784	0	159
2025.05.16	3237.175	3244.615	3154.289	3202.217	313223	0	159
2025.05.18	3214.226	3245.254	3211.645	3234.910	28719	0	159
2025.05.19	3234.947	3249.812	3206.584	3222.532	267252	0	159
2025.05.20	3222.561	3304.072	3204.521	3290.695	274876	0	159
2025.05.21	3290.734	3324.897	3285.420	3320.082	284656	0	159
2025.05.22	3320.143	3345.430	3279.252	3300.146	302899	0	159
2025.05.23	3300.172	3365.925	3286.942	3356.295	303505	0	159
2025.05.25	3352.095	3352.480	3341.349	3342.691	22932	0	159
2025.05.26	3342.730	3356.859	3323.485	3346.139	165391	0	159
2025.05.27	3346.182	3350.029	3285.089	3309.402	249681	0	159
2025.05.28	3309.431	3325.556	3250.249	3259.895	245613	0	159
2025.05.29	3259.921	3331.247	3245.432	3315.503	268457	0	159
2025.05.30	3315.498	3322.777	3271.526	3289.665	264968	0	159
2025.06.01	3303.113	3316.742	3299.888	3310.255	16984	0	159
2025.06.02	3310.213	3392.238	3301.409	3387.384	234616	0	159
2025.06.03	3387.407	3388.671	3333.078	3359.945	224944	0	159
2025.06.04	3359.972	3384.637	3343.720	3378.042	218115	0	159
2025.06.05	3378.099	3403.592	3339.370	3361.810	319286	0	159
2025.06.06	3361.867	3375.685	3307.053	3311.702	266872	0	159
2025.06.08	3317.819	3321.214	3309.201	3318.038	14563	0	159
2025.06.09	3318.082	3338.210	3293.452	3326.766	200358	0	159
2025.06.10	3326.809	3349.122	3301.920	3327.862	228688	0	159
2025.06.11	3327.914	3373.534	3319.194	3365.376	271564	0	159
2025.06.12	3365.467	3399.020	3338.570	3395.952	280413	0	160
2025.06.13	3395.837	3446.755	3391.720	3433.449	341489	0	160
2025.06.15	3440.955	3451.255	3438.616	3444.141	24940	0	160
2025.06.16	3444.166	3451.224	3382.725	3402.769	276056	0	160
2025.06.17	3402.815	3403.289	3366.079	3387.380	267609	0	160
2025.06.18	3387.295	3400.000	3362.474	3375.023	245535	0	160
2025.06.19	3375.042	3387.968	3347.474	3368.739	184744	0	160
2025.06.20	3368.763	3374.477	3340.345	3368.618	185656	0	160
2025.06.22	3384.117	3388.928	3371.173	3372.755	26349	0	160
2025.06.23	3372.776	3393.493	3341.510	3344.235	255276	0	160
2025.06.24	3344.270	3357.912	3295.306	3324.142	256294	0	160
2025.06.25	3324.139	3340.158	3311.894	3339.028	159825	0	160
2025.06.26	3338.987	3350.370	3309.916	3318.758	197842	0	160
2025.06.27	3318.731	3322.012	3255.836	3274.598	241988	0	160
2025.06.29	3272.488	3274.234	3247.921	3263.805	27922	0	160
2025.06.30	3263.775	3314.602	3259.425	3312.441	185109	0	160
2025.07.01	3312.435	3358.015	3309.917	3338.152	187699	0	160
2025.07.02	3338.186	3365.752	3327.587	3349.395	176290	0	160
2025.07.03	3349.444	3363.677	3311.535	3330.871	180318	0	160
2025.07.04	3330.875	3345.087	3325.869	3335.070	97137	0	160
2025.07.06	3341.408	3341.911	3326.187	3328.853	12032	0	160
2025.07.07	3328.830	3345.857	3296.296	3334.653	206348	0	160
2025.07.08	3334.697	3339.500	3287.041	3302.277	196018	0	160
2025.07.09	3302.341	3321.104	3282.626	3317.660	179187	0	160
2025.07.10	3317.559	3330.318	3310.017	3323.808	159161	0	160
2025.07.11	3323.764	3368.733	3323.621	3355.105	187085	0	160
2025.07.13	3361.295	3374.017	3359.658	3367.772	17961	0	160
2025.07.14	3367.731	3375.078	3340.971	3345.337	170548	0	160
2025.07.15	3345.299	3366.356	3320.218	3331.056	177217	0	160
2025.07.16	3331.092	3377.523	3319.529	3346.526	241051	0	160
2025.07.17	3346.556	3347.405	3309.883	3340.159	165360	0	160
2025.07.18	3340.214	3361.212	3331.806	3350.395	137759	0	160
2025.07.20	3348.767	3350.115	3345.006	3349.107	7795	0	160
2025.07.21	3349.168	3402.783	3347.696	3396.532	159327	0	160
2025.07.22	3396.540	3433.507	3383.240	3427.458	182438	0	160
2025.07.23	3427.433	3438.943	3381.375	3390.008	207825	0	160
2025.07.24	3390.047	3393.438	3351.315	3369.419	177406	0	160
2025.07.25	3369.422	3373.528	3324.928	3336.869	151347	0	160
2025.07.27	3329.144	3337.465	3323.817	3333.683	15952	0	160
2025.07.28	3333.675	3345.352	3301.777	3312.468	173472	0	160
2025.07.29	3312.485	3334.117	3307.843	3327.552	172286	0	160
2025.07.30	3327.562	3334.052	3268.034	3285.303	217905	0	160
2025.07.31	3285.257	3314.812	3282.802	3288.651	190552	0	160
2025.08.01	3288.607	3363.566	3281.590	3363.119	223668	0	160
2025.08.03	3364.339	3364.521	3354.585	3361.957	12436	0	160
2025.08.04	3361.990	3385.377	3345.006	3377.407	153487	0	160
2025.08.05	3377.383	3390.452	3349.803	3383.187	149308	0	160
2025.08.06	3383.194	3385.340	3358.091	3370.155	145143	0	160
